Group,Part Number,Known As,Description,Reco,Hold,Quar,RECOLEICS,HoldLeics,QuarLeics,Thorn,ExtLeics,MTS,Ryr,May,Apr,Mar,Feb,Jan,Dec,Nov,Oct,Sep,Aug,Jul,Jun,Min,Max,Range
TURB,RCT31096R,825154-5009S,Chevrolet Express Van 2.8d 181hp 2016> Reman Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,REMAN
TURB,RCT31096REB,825154-5009S-REB,Chevrolet Express Van 2.8d 181hp 2016> REBUILT Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REB
TURB,RCT31097BNU,825287-5002S-BNU,Fiat Ducato 3.0d 174hp 2013> NEW Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BNU
TURB,RCT31097BNU-OEM,825287-5002S-BNU-OEM,Fiat Ducato 3.0d 174hp 2013> New OE Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BNU-OEM
OLDUNIT,RCT31097OU,825287-5002S-OU,825287-5002S Old Core Unit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TURB,RCT31097R,825287-5002S,Fiat Ducato 3.0d 174hp 2013> Reman Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,REMAN
TURB,RCT31097REB,825287-5002S-REB,Fiat Ducato 3.0d 174hp 2013> REBUILT Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REB
TURB,RCT31098BNU,825366-5004S-BNU,Hino Motors Ranger 7.7d 264hp 2014> NEW Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BNU
TURB,RCT31098BNU-OEM,825366-5004S-BNU-OEM,Hino Motors Ranger 7.7d 264hp 2014> New OE Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BNU-OEM
OLDUNIT,RCT31098OU,825366-5004S-OU,825366-5004S Old Core Unit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
